Receiver ID,Block Date,Block Heights not present in Index Files,Block Heights not present in Databricks,True if unique block heights are the same between the two lists
conservativevassal6429167638.u.arkana.near,2024-03-21,115158313,115158313,True
confusingtance2649283581.u.arkana.near,2024-03-21,115159862,115159862,True
concludingtie-up3220259113.u.arkana.near,2024-03-21,115173782,115173782,True
confidentcob4988358799.u.arkana.near,2024-03-21,115166679,115166679,True
completedtailback5785359992.u.arkana.near,2024-03-21,115181421,115181421,True
complicatedpyramid5314359123.u.arkana.near,2024-03-21,115159701,115159701,True
constitutionalblaspheme4382326098.u.arkana.near,2024-03-21,115181954,115181954,True
contagioustumult4688349473.u.arkana.near,2024-03-21,115152616,115152616,True
conspicuousbulldog8600196810.u.arkana.near,2024-03-21,115153893,115153893,True
connectedfixture4233359281.u.arkana.near,2024-03-21,115167595,115167595,True
contaminatedstrategy6839296977.u.arkana.near,2024-03-21,115156630,115156630,True
cosmeticraffle776383276.u.arkana.near,2024-03-21,"115150456,115150503","115150456,115150503",True
conversationalmirror5658299405.u.arkana.near,2024-03-21,115184323,115184323,True
contrarymemorandum6009341148.u.arkana.near,2024-03-21,115155238,115155238,True
cooperativecyclamate6089321898.u.arkana.near,2024-03-21,115155106,115155106,True
criptorublis.near,2024-03-21,"115166258,115166261","115166258,115166261",True
conversationalmonitor1945359119.u.arkana.near,2024-03-21,115156013,115156013,True
crookedfootfall1189120362.u.arkana.near,2024-03-21,115168954,115168954,True
crumblingpolity4416287590.u.arkana.near,2024-03-21,115175744,115175744,True
crumblingfertilizer5142350160.u.arkana.near,2024-03-21,115164824,115164824,True
crystallineclap7567293923.u.arkana.near,2024-03-21,115179175,115179175,True
curtainedeagle1076293848.u.arkana.near,2024-03-21,115155224,115155224,True
currentecosystem5749290790.u.arkana.near,2024-03-21,"115170681,115171516","115170681,115171516",True
dailypolymer1774353894.u.arkana.near,2024-03-21,115157097,115157097,True
darncommunity8767277752.u.arkana.near,2024-03-21,115165276,115165276,True
darkstatehouse276826609.u.arkana.near,2024-03-21,115170102,115170102,True
darkenedlurch7407113227.u.arkana.near,2024-03-21,"115167682,115167714","115167682,115167714",True
dappergrammar722459867.u.arkana.near,2024-03-21,115166601,115166601,True
dark-bluepassenger2052194660.u.arkana.near,2024-03-21,115161501,115161501,True
darnteapot5743354796.u.arkana.near,2024-03-21,115165504,115165504,True
dasjoy.near,2024-03-21,115169048,115169048,True
datedeighteen-wheeler8548302380.u.arkana.near,2024-03-21,115153418,115153418,True
deep-seatedbanging859294124.u.arkana.near,2024-03-21,115161729,115161729,True
degenerativecreole8589301574.u.arkana.near,2024-03-21,115160091,115160091,True
dejectedfullback7473190232.u.arkana.near,2024-03-21,115159062,115159062,True
deservingsquirt7727326217.u.arkana.near,2024-03-21,115173039,115173039,True
davywoodfi.near,2024-03-21,"115153468,115153480","115153468,115153480",True
decreasingsheepherder8773359067.u.arkana.near,2024-03-21,115150594,115150594,True
deliciousmarketplace2827336855.u.arkana.near,2024-03-21,115163046,115163046,True
denzeldzinzi.near,2024-03-21,"115170641,115170682,115170692","115170641,115170682,115170692",True
dementedtablet1562340063.u.arkana.near,2024-03-21,115155037,115155037,True
deterioratingheavyweight1343352107.u.arkana.near,2024-03-21,115174237,115174237,True
differentialhoof725330204.u.arkana.near,2024-03-21,115167240,115167240,True
debuets-kante_0x.near,2024-03-21,"115152960,115153052,115153699","115152960,115153052,115153699",True
