Receiver ID,Block Date,Block Heights not present in Index Files,Block Heights not present in Databricks
conspicuousbulldog8600196810.u.arkana.near,2024-03-21,115153893,115153893
conservativevassal6429167638.u.arkana.near,2024-03-21,115158313,115158313
contagioustumult4688349473.u.arkana.near,2024-03-21,115152616,115152616
constitutionalblaspheme4382326098.u.arkana.near,2024-03-21,115181954,115181954
connectedfixture4233359281.u.arkana.near,2024-03-21,115167595,115167595
contaminatedstrategy6839296977.u.arkana.near,2024-03-21,115156630,115156630
cooperativecyclamate6089321898.u.arkana.near,2024-03-21,115155106,115155106
contrarymemorandum6009341148.u.arkana.near,2024-03-21,115155238,115155238
conversationalmirror5658299405.u.arkana.near,2024-03-21,115184323,115184323
conversationalmonitor1945359119.u.arkana.near,2024-03-21,115156013,115156013
cosmeticraffle776383276.u.arkana.near,2024-03-21,"115150456,115150503","115150456,115150503"
criptorublis.near,2024-03-21,"115166258,115166261","115166258,115166261"
crookedfootfall1189120362.u.arkana.near,2024-03-21,115168954,115168954
crumblingfertilizer5142350160.u.arkana.near,2024-03-21,115164824,115164824
crumblingpolity4416287590.u.arkana.near,2024-03-21,115175744,115175744
crystallineclap7567293923.u.arkana.near,2024-03-21,115179175,115179175
currentecosystem5749290790.u.arkana.near,2024-03-21,"115170681,115171516","115170681,115171516"
curtainedeagle1076293848.u.arkana.near,2024-03-21,115155224,115155224
darkenedlurch7407113227.u.arkana.near,2024-03-21,"115167682,115167714","115167682,115167714"
darkstatehouse276826609.u.arkana.near,2024-03-21,115170102,115170102
dark-bluepassenger2052194660.u.arkana.near,2024-03-21,115161501,115161501
darncommunity8767277752.u.arkana.near,2024-03-21,115165276,115165276
dappergrammar722459867.u.arkana.near,2024-03-21,115166601,115166601
darnteapot5743354796.u.arkana.near,2024-03-21,115165504,115165504
dailypolymer1774353894.u.arkana.near,2024-03-21,115157097,115157097
dasjoy.near,2024-03-21,115169048,115169048
datedeighteen-wheeler8548302380.u.arkana.near,2024-03-21,115153418,115153418
davywoodfi.near,2024-03-21,"115153468,115153480","115153468,115153480"
deep-seatedbanging859294124.u.arkana.near,2024-03-21,115161729,115161729
debuets-kante_0x.near,2024-03-21,"115152960,115153052,115153699","115152960,115153052,115153699"
decreasingsheepherder8773359067.u.arkana.near,2024-03-21,115150594,115150594
degenerativecreole8589301574.u.arkana.near,2024-03-21,115160091,115160091
dementedtablet1562340063.u.arkana.near,2024-03-21,115155037,115155037
deliciousmarketplace2827336855.u.arkana.near,2024-03-21,115163046,115163046
dejectedfullback7473190232.u.arkana.near,2024-03-21,115159062,115159062
deservingsquirt7727326217.u.arkana.near,2024-03-21,115173039,115173039
denzeldzinzi.near,2024-03-21,"115170641,115170682,115170692","115170641,115170682,115170692"
deterioratingheavyweight1343352107.u.arkana.near,2024-03-21,115174237,115174237
designatedpouch6129359141.u.arkana.near,2024-03-21,115157783,115157783
derkaouihassni.near,2024-03-21,115169586,115169586
differentialhoof725330204.u.arkana.near,2024-03-21,115167240,115167240
digitalbellhop4291263943.u.arkana.near,2024-03-21,115155637,115155637
differentperfidy4489342858.u.arkana.near,2024-03-21,115173735,115173735
differentialontology4061333918.u.arkana.near,2024-03-21,115165212,115165212
